"V1","V2","V3","V4","V5"
1.40055886856507,3,29,21.8348187206574,2.23051372622779
3.10585846769573,3,7,8.63696493812834,3.17090428925343
3.0019890757043,3,10,8.05212307310821,3.2039860367314
4.16869849140824,2,3,3.38725695415749,3.84961125778882
2.71881629856185,3,8,11.9392044025557,2.94729761213884
2.10842969729684,3,13,14.7084339222578,2.67166800572422
3.396973477359,3,6,6.86031061905923,3.35737558126897
2.87589614537987,2,2,4.36451617589231,3.57257815209351
3.56416515174422,3,11,8.59769333402404,3.13997492289295
2.29535558826372,3,5,6.62109966714853,3.40408726442989
