"V1","V2","V3","V4","V5","V6","V7","V8","V9"
2.1550501456372,4,13,10.6281900657789,2.91187170702758,3.56462632075406,3.78763664162526,3.98851010338983,4.28922902174649
4.28091002088107,5,1,1.60835166568399,3.94149816142167,5.12259900778383,5.62960112676112,6.05365257778282,6.69196122251274
2.71839689493467,5,7,5.72070725738596,3.53983975886143,4.4193705785519,4.75946082547388,5.09071891670251,5.47294703919307
4.06083853157322,3,3,7.16258348513433,3.47621005608611,4.40780014409221,4.79734791400656,5.15101531564199,5.59677163996745
2.76052048730438,3,3,6.2477490298416,3.57733069041877,4.55334757763694,4.95073961166229,5.32345200575386,5.78292900239578
2.589462684243,6,26,12.7397559778233,2.40170289383857,2.83944500433972,3.00082902627863,3.14337077140813,3.32082634763671
3.26580061583857,2,4,9.53100665800326,3.42156887842063,4.31467836821059,4.65416979506022,4.98522871454401,5.42447221402008
2.55210523677724,4,14,12.2202729682559,2.76952864704782,3.36472689089602,3.59205199464363,3.82191692481365,4.08688224315165
2.34109069835827,5,11,12.0224329156219,2.81859777246019,3.48055218098937,3.71559706612796,3.96431867505775,4.24912515528077
4.34477005227931,1,0,0,3.87529177054992,4.99341658185014,5.4455081265,5.86641561955649,6.46972233909761
3.69164033354354,5,4,3.32924731220151,3.97101393404418,5.05721672312588,5.50669013797998,5.8910260522297,6.39511219314624
2.3299570672953,5,8,8.32287315689775,3.16038047473576,3.93724549122294,4.2062497385882,4.48008520593411,4.85309952071469
2.74420735153141,3,10,16.932245872415,2.76396781063537,3.40525997800091,3.64103904553689,3.85821689466089,4.14709212356713
3.00172682812543,7,13,6.36199157305825,3.21725372216205,3.9439791561631,4.21625610133257,4.47606529180067,4.79881135044503
2.8140175370226,2,8,15.1636911035829,3.08183657554643,3.8297641226583,4.10964492208788,4.34377418941851,4.72850909091217
1.95080241208661,8,36,19.3679242140721,1.76790668541748,2.04549533109622,2.15336997339101,2.25099634253986,2.36216265254221
2.99631724901526,7,17,9.1555558792128,2.72813545546215,3.2993580390402,3.49136818079543,3.69120835666392,3.9400316917487
2.41552165904345,6,11,10.965881655356,2.76260399384972,3.40991415095318,3.64209248762685,3.8722637402613,4.19313251279608
3.30481792927622,8,8,6.9771877719041,3.05646565125072,3.81888463272977,4.13052394875741,4.41652239310639,4.78541041912771
2.98208171284942,7,15,7.62532492273571,2.92743005500002,3.56126485865719,3.78978281381752,3.98737871121854,4.26327338144901
3.63596724156255,7,10,6.04041618317792,3.271470180426,4.03868847371433,4.33166354377064,4.59346609822499,4.95535185398911
3.7860467892064,5,1,1.68709442580554,3.84299882681317,4.95726289345344,5.40133338797635,5.82193983345556,6.33181240086757
3.46133051772143,6,3,2.43467049535609,4.1149522692864,5.27343908103928,5.76308972875851,6.17247683879531,6.72855909056078
3.36809825215143,2,3,5.40108481015308,3.74528920775589,4.756931926756,5.15593970266109,5.53950572908162,6.05684779125175
3.63345214503827,5,5,6.65751288422737,3.30763416172552,4.18368115828708,4.52540541185456,4.82394958149267,5.20070864500016
2.75417981730422,4,14,10.47060554243,2.87082091066673,3.49723054393125,3.7225767541865,3.94063033307448,4.18784048264855
3.89601711881497,4,6,13.4807796692096,2.98089640173823,3.74234561450651,4.03422006629173,4.30317248363948,4.65602445285726
3.48588627125635,8,19,9.16392419859471,2.69495964564168,3.23453735894162,3.43209099678337,3.62215011346107,3.85098223984045
2.72693329272219,8,11,6.08027869783636,3.22349872543109,3.97508201244676,4.26679432240228,4.52427352001895,4.89361856131888
5.49948453366323,9,18,5.65914761159948,3.27602310509972,3.96315067736247,4.22252324426824,4.47657468429384,4.78532776529394
2.78434540489568,7,13,8.73713186185135,2.84452187366804,3.46453782197231,3.70774550462639,3.94200780207261,4.25228270280165
2.29905971011392,8,17,15.5436254727247,2.20896870916069,2.66436592750713,2.83083289157519,3.00591850501073,3.2001099199076
5.73015309764095,7,6,4.41501906928782,3.62790679699728,4.56256908933571,4.96605733904066,5.34102680200295,5.84703362125546
3.12326959379169,9,22,9.413302740294,2.51257697528717,3.00142967523284,3.16755924561872,3.3398060197963,3.57736531311331
3.01036831651297,5,12,8.43634339784492,3.03102971910801,3.70539547728459,3.99589557908924,4.22886354748296,4.56461741181597
2.46182107556115,7,13,7.521742369962,3.01836566431744,3.68444007407945,3.94043969562886,4.19393599676311,4.46941266477506
3.86032788725677,1,5,24.5502207807276,3.16600219403296,3.97805969025693,4.27307615574268,4.54778137414042,4.87639898783564
2.52468195969355,5,7,7.26977173896823,3.24022947075725,4.03511789643061,4.3408444989122,4.64430941952701,5.01982487667263
3.39634843959973,3,2,2.64883307957456,4.06592453237287,5.1871951377556,5.60813170441133,6.02069503347235,6.48710579726227
3.03926293166786,5,8,10.7701694370809,2.92535596113415,3.62782040442357,3.88576672084819,4.1522753801663,4.48304496691075
3.28685983208282,4,13,14.1344987463833,2.74332538376369,3.36293854860845,3.58025714706684,3.79568703084044,4.04015118468766
2.9015768125155,8,15,8.15552205480865,2.83881560434623,3.47634663206718,3.69445100654535,3.91439698893948,4.16844038644098
3.28675106768362,7,14,8.2070968130415,2.87977199991863,3.51499829233506,3.74521922175776,3.96303436973112,4.23101339558602
2.95411017275473,11,14,7.00905393197563,2.87406732312843,3.54862767671837,3.78927331185123,4.02280975065812,4.36054161640479
4.17371844021092,6,10,6.33949197753032,3.29788369116581,4.0767920426106,4.365113365632,4.61818384722543,4.96672315892099
2.6902636382838,4,12,22.4690080766694,2.42890862418956,2.97698088074152,3.17232724464211,3.36445964692191,3.6228698876665
2.46607113534672,8,17,10.4634452040888,2.45882278814253,2.97230425180193,3.144587140107,3.31657303952272,3.54340801882573
2.90020472706277,5,14,13.6564379234293,2.57199295005481,3.1166946715654,3.31312593757238,3.48076317366296,3.70372819444569
2.92871776674208,8,8,4.11153982287878,3.7155817123514,4.66445869561958,5.0152537433906,5.33109884624572,5.72948851243007
2.72137155900122,4,18,18.1222584035354,2.4340751957383,2.92814738346415,3.10949558621718,3.26842820455261,3.46289017382134
3.51289452759243,9,12,7.47699931291026,2.8645439708674,3.53902872537821,3.77314886962041,4.02856600638914,4.31027106061804
3.7181961291948,6,18,8.96001968797212,2.80074839480809,3.36832517892923,3.5761144612274,3.73874529177334,3.99783675381203
4.3710813274812,3,2,3.6953969821233,3.84236382700535,4.92516663317703,5.35014808349886,5.74820812492777,6.3565946823376
3.87300913618482,3,4,4.50680179550625,3.83547736781939,4.82490233251969,5.22986199192933,5.57438073186086,5.9868193932536
3.18769479922557,4,7,5.90236988247078,3.57880844525347,4.45026771698019,4.77734530753066,5.09862422743456,5.50720826119808
