"V1","V2","V3","V4","V5"
2.98835258304747,7,11,8.42411330160236,2.59020572899579
3.17069577102464,6,8,5.90561550592395,3.14488785618567
1.71381922375184,7,30,16.4103863206746,1.62014754421686
3.50737336943978,3,8,7.51964313591307,3.29535923165072
3.34118065040905,4,0,0,3.82246429509717
2.74138096465994,5,14,16.8190438734325,2.18695536090005
3.70306696648423,3,10,10.8072867057506,2.90227719614733
3.22780207373565,10,14,4.51608390154318,3.23661487962654
2.5354446754434,8,16,9.2813607156606,2.35643376836357
3.04753536838561,3,4,4.67684060978474,3.69188295086375
1.95820813001062,6,29,16.5373566145422,1.70106566627328
5.35949121595787,3,4,5.38627305432455,3.60944063991426
1.85701196861109,5,19,11.3994408778579,2.284836293152
4.24131154353265,6,2,3.68653099722498,3.35129786174625
3.88259891292538,6,13,7.64590570359611,2.77577458027113
3.10902273752412,2,0,0,3.78017799749939
4.27900858966488,4,4,5.89215140895394,3.32883117901637
4.02550303309202,5,15,10.9686363317335,2.52604870513207
3.08381109062277,6,14,7.50898164562395,2.82235400449129
2.86999047806732,7,15,7.34587049788912,2.72716746165348
4.55980509537201,5,6,4.19568755842693,3.48731301102284
2.99628422995641,8,28,10.9034828113746,2.06159084977834
3.94033402944746,4,2,1.97354751656423,4.02228626135732
3.35478067502426,5,10,8.04055945730748,2.88258855232026
2.65126129631772,7,13,6.9993399187033,2.80480827648959
3.62791007237412,10,21,6.09305055475499,2.75862835508888
4.26153235649805,5,7,4.32915302116492,3.47961046995818
2.93683168777564,13,18,5.48993467838061,2.76583958622652
3.44737724004453,4,6,5.98841066139818,3.28655530678968
3.80289309051835,2,3,15.1936955031993,3.23340383507297
3.89690365259179,6,16,7.37474532340069,2.63917659998353
3.43329504050413,13,13,4.27277676979034,3.23067617200719
5.76978637177257,1,0,0,4.21681783804673
3.85973764684637,3,7,7.04387817963687,3.36372984793906
2.6992601275022,6,16,9.11066491097192,2.51560231848398
2.54861555048551,6,10,5.63111498514467,3.1300591857637
5.17704218234315,5,10,7.85654542910793,2.93655817711963
2.53306893095712,7,14,8.28507717705602,2.59410929853302
3.29637858146523,3,2,3.03237201976869,3.82412007107144
3.40805430074336,4,5,7.25179276845521,3.19634016095187
3.65334992796097,4,8,7.14479615827907,3.19892741560416
3.31615174891726,9,19,7.45123506327966,2.52553178562029
3.3336409925986,3,6,4.80344784938731,3.7461884073286
2.86002942128258,5,10,7.01700011987149,3.05866374306374
2.7472675756886,3,5,4.82661166053934,3.69885626523839
4.65546495313762,6,5,3.59628973460128,3.541347443571
3.89944474570943,8,2,1.49156309086281,3.83891407536528
3.53941892059781,4,7,7.16344164608755,3.18482947956354
3.18295240162152,6,9,5.74472616962496,3.11905731654183
2.21039258397598,4,28,19.8581758644611,1.97014603621179
5.04878741242247,7,7,4.20789593532098,3.41983305023981
2.8738186810509,8,15,5.58544745539463,3.04225906018783
2.59005180798922,10,16,4.6508793600959,3.12883739152737
3.8331976961351,6,13,7.74254397712563,2.71089648845577
4.35398053988929,10,10,4.21820826243416,3.23989975429152
3.02530868318276,3,4,5.81550233108023,3.5395794380347
3.10111674401209,1,5,15.1095103467908,3.45672151824207
3.98993817620132,2,4,6.53850185879748,3.68715497726328
5.72847977037543,1,0,0,4.0126577671562
4.54267910658879,9,13,5.24545021363927,3.02876777460594
2.72561799502156,10,15,6.0507592446438,2.77378377692622
4.82696714784025,2,2,4.19165548067155,3.86055044786951
2.40662827595927,3,13,24.1753663450171,2.34439529099516
2.55681375117084,8,17,11.670116090411,2.1083868314989
4.5177930958589,6,8,4.70103242687421,3.40376532016347
4.7680358975423,1,0,0,4.04950729958257
4.54787473307316,6,4,4.92665759906168,3.18977550477799
5.09257213611132,2,6,10.3428514054491,3.32975847025334
2.04196798979272,5,15,8.27668185070865,2.65239602408488
2.45573502095428,4,7,7.39569376173467,3.19754917314505
3.81151493531879,8,4,2.07392025455354,3.92285945672283
2.90457468794395,7,12,7.67195776922047,2.67518358878092
6.10232200453472,0,0,0,-1
3.06140217121421,8,8,3.60877449143631,3.5625019248532
3.40492754310052,9,7,3.37106325045708,3.48179616577417
3.51888071832978,2,8,16.0226131468312,2.97204117018534
3.82242860056551,2,0,0,4.06667866842452
3.38936499153828,5,6,5.38154419780527,3.26213360231296
6.59186657245399,3,0,0,4.12003316332149
3.33710802312642,10,15,5.14611711248433,3.01626393469885
3.53495270435981,9,22,7.80099979105921,2.43120516392206
2.93953867271842,7,6,6.12642189655917,3.00499653046556
4.18332698730964,7,8,4.91174606834506,3.25380681050526
2.56711274130804,9,17,6.51131142845108,2.65794782104982
5.06726497179636,4,1,1.30705275128235,4.00237881889589
5.46554920833683,2,2,3.45079559644858,3.97266252184678
2.5038720707255,7,8,4.24498714537537,3.34251689516362
3.37075032953308,4,13,12.2708091619037,2.34981400931685
4.3311478301302,2,5,7.16867788283811,3.60521877123897
3.42077207588619,2,7,7.47107528789291,3.54021766447516
2.49445281745781,3,5,11.5734062580395,3.12326845163055
1.76170718308061,4,12,14.8512091935159,2.44689744465252
2.85343590450344,4,5,7.64484472061055,3.18200714077488
3.26771622624452,3,2,3.11214740114181,3.83271925236993
3.08612471572716,6,17,11.559154955343,2.30964285173531
5.32744346367564,4,4,3.80358014499235,3.74714587359958
3.61911307485102,3,4,4.95302462294991,3.69063167119441
2.0921199675501,7,21,13.1224487363061,1.70668024705931
3.20557667993929,3,2,4.92367098110813,3.58498324953393
